item_id,name,domain,categories,location,stars
yelp_Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,yelp,"Pizza, Restaurants, Salad, Soup","Philadelphia, PA",3.0
yelp_8sshLb4UU7emeUDvtJWnpA,DanceLine,yelp,"Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping","Paoli, PA",4.5
yelp_kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,yelp,"Pizza, Restaurants","Ardmore, PA",3.5
yelp_w_AMNoI1iG9eay7ncmc67w,River 127,yelp,"Event Planning & Services, Hotels, Hotels & Travel","New Orleans, LA",3.0
yelp_aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,yelp,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants","Philadelphia, PA",3.5
yelp_2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,yelp,"Restaurants, Burgers","Exton, PA",2.5
yelp_mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,yelp,"Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair","Wilmington, DE",2.0
yelp_LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,yelp,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums","Edwardsville, IL",4.5
yelp_fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,yelp,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife","Sparks, NV",5.0
yelp_x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company,yelp,"Hair Salons, Hair Extensions, Beauty & Spas, Wigs, Shopping","Indianapolis, IN",1.5
yelp_ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,yelp,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops","Alton, IL",3.0
yelp_lwItZ1Ck3KtpCgG4CPFmpQ,Stomel Elliot Attorney-At-Law,yelp,"DUI Law, Professional Services, Lawyers, Criminal Defense Law","Cherry Hill, NJ",5.0
yelp_Kq51_lGAgAigqmENITTr-A,Bala Better Health,yelp,"Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care","Bala Cynwyd, PA",4.0
yelp_mglME3E7esPSpIF5bias8w,Pier 1,yelp,"Fashion, Shopping, Department Stores, Furniture Stores, Candle Stores, Home & Garden, Home Decor","Springfield, PA",2.5
yelp_wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,yelp,"Restaurants, Chinese","Tucson, AZ",3.0
yelp_JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,yelp,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes","Edmonton, AB",4.0
yelp_lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,yelp,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners","Nashville, TN",3.5
yelp_bCBPXIVfVzBZBEpFu29dcg,All In Shipping,yelp,"Shipping Centers, Local Services","Belleville, IL",5.0
yelp_ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,yelp,"Restaurants, Italian","Bala Cynwyd, PA",5.0
yelp_Hwt3_mOEmU-t--ywcemnMg,Gold's Gym,yelp,"Active Life, Fitness & Instruction, Trainers, Gyms, Yoga","St. Petersburg, FL",3.0
yelp_REwfwz-_-CMQ7Np5UVi9Qg,Jennie Deckert,yelp,"Real Estate Agents, Home Services, Real Estate","Carmel, IN",5.0
yelp_5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,yelp,"Specialty Food, Bakeries, Food, Health Markets","Edmonton, AB",4.0
yelp_cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,yelp,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food","Edmonton, AB",5.0
yelp_0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,yelp,"Food, Grocery, Convenience Stores","Tampa, FL",3.0
yelp_xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,yelp,"Hotels, Hotels & Travel, Event Planning & Services","Kennett Square, PA",3.0
yelp_txyXRytGjwOXvS8s4sc-WA,Smoothie King,yelp,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping","Tucson, AZ",3.0
yelp_DQ7PyYlp2bX96WZa7TcaWQ,LensCrafters,yelp,"Ophthalmologists, Eyewear & Opticians, Health & Medical, Shopping, Doctors, Optometrists","Plymouth Meeting, PA",2.5
yelp_uI9XODGY_2_ieTE6xJ0myw,Roman Forum,yelp,"Restaurants, American (New), Italian","Tampa, FL",4.0
amazon_1,Sample entry 1,amazon,E-Commerce,Online / E-Commerce,4.0
amazon_2,Sample entry 2,amazon,E-Commerce,Online / E-Commerce,4.0
yelp_naija_1,Yellow Chilli Bar & Restaurant,yelp,"Restaurants, Nigerian, African, Casual Dining","Lagos, LA",4.5
yelp_naija_2,Bungalow Restaurant,yelp,"Restaurants, Fusion, Seafood, Bars, Nightlife","Lagos, LA",4.2
yelp_naija_3,White House Buka,yelp,"Restaurants, Food, African, Buka, Mama Put","Lagos, LA",4.3
yelp_naija_4,Mega Plaza Shopping Mall,yelp,"Shopping, Department Stores, Retail & Shopping","Lagos, LA",4.0
yelp_naija_5,Deano's Beer Parlour,yelp,"Pubs, Bars, Restaurants, Beer Parlour, Nightlife","Lagos, LA",4.4
yelp_naija_6,Glover Court Suya,yelp,"Food, Restaurants, Suya Joint, Specialty Food, Grill","Lagos, LA",4.7
yelp_naija_7,Perfect Touch Salon & Spa,yelp,"Beauty & Spas, Hair Salons, Nail Salons, Slay Queen","Abuja, FC",4.6
yelp_naija_8,Jazzhole Cafe & Bookstore,yelp,"Food, Coffee & Tea, Cafes, Books, Nightlife","Lagos, LA",4.8
amazon_naija_9,Pack of Active Pepper Suya Spice,amazon,"E-Commerce, Groceries, Spices, Suya",Online / E-Commerce,4.5
amazon_naija_10,Premium Hand-Woven Ankara Fabric,amazon,"E-Commerce, Fashion, Clothing, Ankara",Online / E-Commerce,4.7
